promise_id,promise_text,category,evidence_googlenews,evidence_govwebsites
P175,To Create a separate Ministry to take care of the affairs of NRI Kannadigas.,NRI Kannadigas,"['South Sudan: Funding gaps threaten nearly 2 million displaced people - UN News', 'Encampment Resolution Funding Program, Round 2 - California Grants Portal (.gov)']",[]
P176,To help in setting up industries and those permanently relocating by creating revolving fund of Rs.1000 Crs. ,NRI Kannadigas,"[""The NHS Long-term Plan Explained - The King's Fund"", 'Encampment Resolution Funding Program, Round 2 - California Grants Portal (.gov)', 'SMART Stage 2 - Department of Transportation (.gov)', 'NHS Long Term Workforce Plan - NHS England', 'Help save 2 million lives: close the vaccine funding gap - Nature']",[]
P177,To maintain a database of youth who are unable to secure a job within 180 days of college graduation. To provide an 'Unemployment Allowance' of Rs. 3000 per month to all registered graduates and Rs.1500/- to Diploma holders - YUVANIDHI,"Youth, Employment and Sports","['Nagaland State Sambad Lottery Result Today, 19-04-2026 LIVE: Dear 1PM Tuesday Weekly Lucky Draw For Rs 1 Crore - Goodreturns', 'Implement Tenants in your Amazon SES environment, Part 3: Implementation guide - Amazon Web Services', 'South Sudan: Funding gaps threaten nearly 2 million displaced people - UN News', 'RBI postpones implementation of new rules on capital market exposure by 3 months - News On AIR', 'Encampment Resolution Funding Program, Round 2 - California Grants Portal (.gov)']",[]
P180,To ensure 80% in jobs in Karnataka to local people in both Public and Private,"Youth, Employment and Sports","[""Karnataka jobs reservation for Kannadigas: India Inc says move 'discriminatory', calls for it to be junked - The Economic Times"", 'Does reserving jobs for locals make sense? - Finshots', 'Domicile reservation in the private sector is constitutionally protected - The Leaflet']",[]
P181,To Constitute a Youth Commission to facilitate the overall development of youth,"Youth, Employment and Sports","['‘Disconnected youth’ commission taking first steps toward strategy - CT Mirror', 'Room to Grow: A Framework for Youth Development in Los Angeles - City of Los Angeles (.gov)', 'Social entrepreneurship and youth - March 2023 - - Eurobarometer survey - european-union.europa.eu', 'Local government funding in England - Institute for Government']",[]
P179,To provide free bus passes and train tickets to the candidates taking up competitive examinations.,"Youth, Employment and Sports","['SMART Stage 2 - Department of Transportation (.gov)', 'Encampment Resolution Funding Program, Round 2 - California Grants Portal (.gov)']",[]
P184,"To identify 1,000 budding Sports talents every year from across the state and provide them financial assistance. ","Youth, Employment and Sports","['Business Analyst Job Description 2026 | Business Analyst JD - Simplilearn.com', 'The social media metrics to track in 2026 (and why) - Sprout Social', 'How AI assistance impacts the formation of coding skills - Anthropic', '30 of the best large language models in 2026 - TechTarget']",[]
P183,"To start an exclusive Sports University in Mysuru and make Karnataka a World-Class sports hub. And, to build an International Sports Complex in Mysuru exclusively for traditional sports.","Youth, Employment and Sports","['Nagaland State Sambad Lottery Result Today, 19-04-2026 LIVE: Dear 1PM Tuesday Weekly Lucky Draw For Rs 1 Crore - Goodreturns', 'RBI postpones implementation of new rules on capital market exposure by 3 months - News On AIR']",[]
P185,"To develop Kuppalli, the birth place of Rastra Kavi Kuvempu a nature tourist center make special project of Rs. 100 Crs.","Language, Literature, Tradition and Culture","['Can Mamdani Fulfill His Ambitious Campaign Promises? - Time Magazine', 'AI-powered success—with more than 1,000 stories of customer transformation and innovation - Microsoft', 'Artificial Intelligence | Pros, Cons, Debate, Arguments, Computer Science, & Technology - Britannica', 'Top 30+ NLP Use Cases in 2026 with Real-life Examples - AIMultiple', 'The State of Fashion 2026: When the rules change - McKinsey & Company', 'Trump Promises $1,776 ‘Warrior Dividend’ for Troops—Here’s What Service Members Need to Know - Military.com']",[]
P182,To allot Rs.2000 crores per year for sports.,"Youth, Employment and Sports",[],[]
P186,"To encourage and develop Kannada Language, literature, education and culture in 63 Taluks in Border areas and in 6 adjoining states where there are large number of Kannadigas, annual allotment of Rs.200 crores.","Language, Literature, Tradition and Culture","['Understanding Promissory Notes: Types, Benefits, and Risks - Investopedia']",[]
P188,To set up the Aluru Venkata Rao Fund of Rs 100 Crore to promote Kannada in the digital space.,"Language, Literature, Tradition and Culture",['SIR in Bengal: What to do if your name does not appear in the 2002 electoral roll? Can you still fill the forms? - Mint'],[]
P187,"To start ""Kuvempu Sahithya Puraskara Abhiyana"" to promote 500 young poets and authors in the state by giving them financial assistance of Rs 25,000 to each.","Language, Literature, Tradition and Culture","['South Sudan: Funding gaps threaten nearly 2 million displaced people - UN News', 'Only 2 States Saw Their Share Of US Venture Funding Rise Last Year - Crunchbase News', 'Help save 2 million lives: close the vaccine funding gap - Nature', 'Nagaland State Sambad Lottery Result Today, 19-04-2026 LIVE: Dear 1PM Tuesday Weekly Lucky Draw For Rs 1 Crore - Goodreturns']",[]
P193,To bring out all Mahakavyas of Kannada Literture in digital form in the Gamaka format.,"Language, Literature, Tradition and Culture",[],[]
P190,To build a state-of-the-art museum and theme park dedicated to Veera Madakari Nayaka in Chitradurga.,"Language, Literature, Tradition and Culture","['Encampment Resolution Funding Program, Round 2 - California Grants Portal (.gov)', 'Nagaland State Sambad Lottery Result Today, 19-04-2026 LIVE: Dear 1PM Tuesday Weekly Lucky Draw For Rs 1 Crore - Goodreturns', 'Implement Tenants in your Amazon SES environment, Part 3: Implementation guide - Amazon Web Services']",[]
P191,"To create a Rs 500 Crore ""Thayi Bhuvaneshwari Monuments Fund"" to ensure the proper maintenance of all ASI sites in Karnataka.","Language, Literature, Tradition and Culture",['DSWD-6 eyes implementation of 3 social protection programs - Philippine News Agency'],[]
P189,To release Rs.100 crores to establish- Basavapatha - the institution for Social Inclusion and Religious Ethics - in Kudalasangama.,"Language, Literature, Tradition and Culture","['DSWD-6 eyes implementation of 3 social protection programs - Philippine News Agency', 'How Shark Tank India changed startup funding in tier 2-3 cities - YourStory.com', 'Nagaland State Sambad Lottery Result Today, 19-04-2026 LIVE: Dear 1PM Tuesday Weekly Lucky Draw For Rs 1 Crore - Goodreturns', 'South Sudan: Funding gaps threaten nearly 2 million displaced people - UN News', 'RBI postpones implementation of new rules on capital market exposure by 3 months - News On AIR', 'SMART Stage 2 - Department of Transportation (.gov)']",[]
P196,To establish Yakshagana Pradhikara with Rs. 25 Crs annual grants.,"Language, Literature, Tradition and Culture",[],[]
P192,"To revive and develop Bhuvanagiri in Siddapur taluk as a tourist destination with aRs 10 Crore grant, as it is the only place in the state where a temple is dedicated to Kannada Mathe Bhuvaneshwari Devi.","Language, Literature, Tradition and Culture","['Implement Tenants in your Amazon SES environment, Part 3: Implementation guide - Amazon Web Services']",[]
P197,"To evolve a scheme to provide economic security to the artists of Yakshagana, Kambala, drama, music Dhaivaradhana work and other forms of arts.","Language, Literature, Tradition and Culture",[],[]
P194,To make special projects to study of Samskrith Literature - Adi Shankaracharya Adhyayana Yojane,"Language, Literature, Tradition and Culture","['DSWD-6 eyes implementation of 3 social protection programs - Philippine News Agency', 'Few have tried OpenAI’s Google killer. Here’s what they think. - The Washington Post', 'Highlights From the Launch of NASA’s Artemis II Moon Mission - The New York Times', 'Generative AI in Search: Let Google do the searching for you - blog.google']",[]
P195,"To aid and strengthen minority languages like Pali, Prakrit, Tulu, Konkani, Kodava, Byari, and Urdu.","Language, Literature, Tradition and Culture","['""Worried About Implementation"": Former NCERT Chief Flags Gaps Amid 3-Language Formula Debate - NDTV', 'South Sudan: Funding gaps threaten nearly 2 million displaced people - UN News', 'Search-and-rescue in the Central Mediterranean Route does not induce migration: Predictive modeling to answer causal queries in migration research - Nature']",[]
P199,To Set up Festival Authority of Karnataka.,"Language, Literature, Tradition and Culture","['Year in Search 2025: Here’s what Aussies searched this year - blog.google', 'Google’s AI Overviews Can Scam You. Here’s How to Stay Safe - WIRED', 'LLMs Are Overtaking Search. Here’s How to Adjust Your Online Presence. - Harvard Business Review', '25 Alternative Search Engines You Can Use Instead Of Google - Search Engine Journal', ""Just Want Links in Google Search Results Instead of AI Overviews? Here's How to Do It - CNET""]",[]
P198,To create a freedom memorial and theme park at Belgavi to commemorate the 1924 Congress Session- [the session presided over by Mahatma Gandhil.,"Language, Literature, Tradition and Culture","['Can Mamdani Fulfill His Ambitious Campaign Promises? - Time Magazine', 'Discontinuation of Development and Launch of AFEELA 1 and the Second Model of AFEELA Vehicles - AFEELA', 'Implement Tenants in your Amazon SES environment, Part 3: Implementation guide - Amazon Web Services', 'Trump Promises $1,776 ‘Warrior Dividend’ for Troops—Here’s What Service Members Need to Know - Military.com']",[]
P203,"To provide Rupees one lakh annual grant to people pursuing PhDs in Kannada literature and a Rs. 25,000 annual grant to people pursuing PG in Kannada literature under ""Da Ra Bendre Kannada Bhasha Adhyayana Puraskara Nidhi""","Language, Literature, Tradition and Culture",[],[]
P204,"To double the amount of money awarded to poets and authors under the Rajyotsava Award, Pampa Award, Kannada Sahitya Academy awards etc. limiting the number of awardees.","Language, Literature, Tradition and Culture",[],[]
P206,"To establish in various universities, Kanakadasa Dasa Sahithya Adhyayana Peetha, Sarvagna Tripadi Sahithya Adhyayana Peeta, Basavanna Vachana Sahithya, Adhyayana Peeta, D V Gundappa Navodhaya sahithya Adhyayana Peeta, Pampa Hale Kannada sahithya Adhayayana Peeta, Kumaravyasa Nadukannada Sahithya Adhyayana Peeta, by providing necessary funds.","Language, Literature, Tradition and Culture",[],[]
P200,"To set up the Shivaram Karantha Literature Fund of Rs. 100 Crore to encourage Kannada writing, both poetry and prose, among students of classes 8-12.","Language, Literature, Tradition and Culture",[],[]
P201,"To give a cash prize of Rs 10,000 to students who score 100% in Kannada in their 10th exam in the name of Rashtra Kavi Manjeshwara Govinda Pai.","Language, Literature, Tradition and Culture","['Opinion | Noam Chomsky: The False Promise of ChatGPT (Published 2023) - The New York Times', 'Few have tried OpenAI’s Google killer. Here’s what they think. - The Washington Post', 'Search-and-rescue in the Central Mediterranean Route does not induce migration: Predictive modeling to answer causal queries in migration research - Nature', ""Here's where Trump's promises stand a year into his second term - WCVB""]",[]
P208,"To create a dedicated fund of Rs 100 Crore ""Shasana samshodhana mattu samrakshana Nidhi"" - for the restoration, renovation, and promotion of research on inscriptions.","Language, Literature, Tradition and Culture",[],[]
P209,To set up Rs 500 Crore revolving fund - Subbiah Naidu Kalabhivruddhi Nidhi - for the revival of ethnic art forms and folk sports.,"Language, Literature, Tradition and Culture",[],[]
P210,"To organize a Mega cultural festival called ""Karnataka Arunodaya Samavesha"" in every assembly constituency to promote local folk arts and music.","Language, Literature, Tradition and Culture",[],[]
P211,To set up Rs 30 Crore “C Ashwath Music Fellowship Fund” to honour young lyricists and singers.,"Language, Literature, Tradition and Culture",[],[]
P202,"To publish a book on Karnataka's history and it's culture called ""Hemmeya Beedu Namma Karunadu"" and make it a non-test subject in all UG courses.","Language, Literature, Tradition and Culture",[],[]
P212,"To provide Rs 10,000 honorarium per month to all senior folk artists and performing artists under ""Gangu Bai Hanagal”","Language, Literature, Tradition and Culture",[],[]
P213,To take suitable actions to get the Tulu language declared as Adhikritha Bhashe and to upgrade Tulu Sahitya Academy as Tulu Bhasha Abhivriddhi Pradhikara.,"Language, Literature, Tradition and Culture",[],[]
P207,To increase funding to Hampi Kannada University to encourage the holistic research on Kannada literature.,"Language, Literature, Tradition and Culture","['Opinion | Noam Chomsky: The False Promise of ChatGPT (Published 2023) - The New York Times', 'The promise of mRNA vaccines: a biotech and industrial perspective - npj Vaccines - Nature', ""Trump promised peace in Ukraine within a day. Here's what actually happened - NPR""]",[]
P214,To provide Rs. 1 crore grant for the development of the unique Kodava Culture.,"Language, Literature, Tradition and Culture","['Kodava Heritage Centre to be Kodagu’s window to the world, hence a rich asset - Star of Mysore', 'Why is the Karnataka government giving priority to Urdu over Kannada? State language is neglected while Siddaramaiah tries to divert the truth - HinduPost']",[]
P217,"To set up a “Dharmika Nidhi,” fund of Rs 1,000Crore, for the restoration and renovation of minor temples and Mathas across the state.",Temples and Pilgrim Centres:,[],[]
P205,"To start ""Nrupatunga Kannada Sahithya Puraskara Abhiyana"" to promote 500 young poets and authors in the state by giving them financial assistance of Rs 25,000 to each.","Language, Literature, Tradition and Culture",[],[]
P215,"Karnataka has around 1,80,000 temples, of which only 35,500 temples come under the Muzrai department. These temples are neglected by the Muzarai Department. Separate special Pooja Nidhi to be established.",Temples and Pilgrim Centres:,[],[]
P218,"To provide Rs 5,000 honorarium per month to all senior priests [above 60 years of age] of temples, mosques, churches, and other religious institutions after they reach the age of sixty, “Archaka Gowrava Nidhi Scheme.",Temples and Pilgrim Centres:,"['Leo Horoscope Today, April 19, 2026: Spending may go towards family or religious needs - The Times of India', 'Leo Horoscope Today, April 19, 2026: Spending may go towards family or religious needs - The Times of India']",[]
P216,To increase monthly grants to Muzarai temples.,Temples and Pilgrim Centres:,"['Encampment Resolution Funding Program, Round 2 - California Grants Portal (.gov)', 'South Sudan: Funding gaps threaten nearly 2 million displaced people - UN News', 'Delhi Metro Phase 4 upcoming projects, stations list, latest updates - Housing', 'Help save 2 million lives: close the vaccine funding gap - Nature', 'Implement Tenants in your Amazon SES environment, Part 3: Implementation guide - Amazon Web Services']",[]
P220,"To provide a grant of up to Rs.20,000 to all Grama Devathe and Theru Habba Festivals celebrated at the village level.",Temples and Pilgrim Centres:,"['Top 25 NGOs Offering Grants for Community Farming and Agribusiness - fundsforNGOs', 'Bring Cultural Events to Life with These Nonprofit Grants - GrantWatch', 'Understanding NGO Grants: A Comprehensive Guide - fundsforNGOs']",[]
P219,"To increase the allowances to Rs.5,000/- per month for meeting the expenditure on Poojadravya and honorarium for small rural temples, and to bring temples of gramadevatas under the purview of Muzarai.",Temples and Pilgrim Centres:,"['RBI postpones implementation of new rules on capital market exposure by 3 months - News On AIR', 'Delhi Metro Phase 4 upcoming projects, stations list, latest updates - Housing', 'GoPro Mission 1 Series India Launch Timeline: When Will It Be Available in India, Expected Date, Price & Full Key Specifications - The Sunday Guardian', 'Nagaland State Sambad Lottery Result Today, 19-04-2026 LIVE: Dear 1PM Tuesday Weekly Lucky Draw For Rs 1 Crore - Goodreturns', 'Help save 2 million lives: close the vaccine funding gap - Nature']",[]
P223,To provide special package for de-silting of Tungabhadra Dam,Kalyana Karnataka,[],[]
P225,To establish minimum 100 PUC and one Women's Degree College in 41 assembly constituencies in Kalyana Karnataka.,Kalyana Karnataka,[],[]
P224,To grant ®1 crore to every gram panchayat for taking up development projects,Kalyana Karnataka,"['The Sustainable Development Goals - Welcome to the United Nations', 'A new approach for the world’s climate strategy | Bill Gates - gatesnotes.com', 'Dealing with Inequality - the Promise and Pitfalls for Social Media and AI for Prostate Cancer in Disadvantaged Populations ""Presentation"" - Stacy Loeb - UroToday']",[]
P222,To establish a textile park at Bellary with an investment of rs. 5000 Cr.,Kalyana Karnataka,['BYD Atto 1 launched at 2026 Bangkok International Motor Show - CarWale'],[]
P221,"To reserve Rs.5,000 Crores every year for the infrastructure development of Kalyana Karnataka.",Kalyana Karnataka,"['RBI postpones implementation of new rules on capital market exposure by 3 months - News On AIR', 'Encampment Resolution Funding Program, Round 2 - California Grants Portal (.gov)', 'District 2 Local Transportation Funding Open House - City of Portland, Oregon (.gov)', 'Nagaland State Sambad Lottery Result Today, 19-04-2026 LIVE: Dear 1PM Tuesday Weekly Lucky Draw For Rs 1 Crore - Goodreturns', 'South Sudan: Funding gaps threaten nearly 2 million displaced people - UN News']",[]
P226,To fill up of all vacancies including back log vacancies in Kalayana Karnataka Region within a year of forming the Government by Congress Party.,Kalyana Karnataka,"['Encampment Resolution Funding Program, Round 2 - California Grants Portal (.gov)', ""Here's where Trump's promises stand a year into his second term - WCVB"", 'District 2 Local Transportation Funding Open House - City of Portland, Oregon (.gov)', 'SMART Stage 2 - Department of Transportation (.gov)', 'Celeste: Countdown to Launch 1 - European Space Agency']",[]
P227,"To establish of one Mother and Child Special Hospital, Trauma and Emergency Treatment centres in each of the 41 Assembly Constituencies.",Kalyana Karnataka,"['DSWD-6 eyes implementation of 3 social protection programs - Philippine News Agency', 'SMART Stage 2 - Department of Transportation (.gov)']",[]
P228,To build 2500 new classrooms and fill up all vacancies of teachers.,Kalyana Karnataka,"['Encampment Resolution Funding Program, Round 2 - California Grants Portal (.gov)', 'Help save 2 million lives: close the vaccine funding gap - Nature', 'Call For 2026 Good Practices | World Heritage Contribution to Sustainable Development Goals - UNESCO', 'AI-powered success—with more than 1,000 stories of customer transformation and innovation - Microsoft']",[]
P230,To give a one-time infrastructure grant of Rs 1 Crore and monthly subsidy of Rs 1 lakh to all Kannada schools in the bordering region of Maharashtra,KITTURU KARNATAKA,"['Encampment Resolution Funding Program, Round 2 - California Grants Portal (.gov)', 'Maximum Load? Major Infrastructure Aspects of Budget 2025 - McMillan LLP', 'SMART Stage 2 - Department of Transportation (.gov)']",[]
P229,To convert the existing Kalaburagi-siraguppa-Ballary High way into 6-lane,Kalyana Karnataka,"['Union Budget 2026-27, Highlights and Economic Impact - IBEF', 'Opinion | Noam Chomsky: The False Promise of ChatGPT (Published 2023) - The New York Times', 'LangGraph 101: Let’s Build A Deep Research Agent - Towards Data Science', 'AI in Business Intelligence: How to Manage It Effectively - TechTarget']",[]
P232,"To set up a 500-bed super-speciality hospitals in Karwar, Dharwad, Vijayapura and Bagalkot.",KITTURU KARNATAKA,['Search-and-rescue in the Central Mediterranean Route does not induce migration: Predictive modeling to answer causal queries in migration research - Nature'],[]
P231,To form 'Mahadayi Irrigation Development Corporation exclusively for the region.,KITTURU KARNATAKA,"['Goa & Karnataka at loggerheads again over Kalasa-Banduri project as central body inspects Mahadayi basin - Down To Earth', 'Encampment Resolution Funding Program, Round 2 - California Grants Portal (.gov)', 'DSWD-6 eyes implementation of 3 social protection programs - Philippine News Agency']",[]
P233,To set up one 'pulses and dal procurement centre’ in every district.,KITTURU KARNATAKA,['DSWD-6 eyes implementation of 3 social protection programs - Philippine News Agency'],[]
P234,"To ensure the construction of 6 lane all weather roads connecting all the districts to the Karwar port passing through Vijaypura, Bagalkot, Gadag and Dharwad and to develop Karwara as the second Major Port.",KITTURU KARNATAKA,"['SMART Stage 2 - Department of Transportation (.gov)', 'Discontinuation of Development and Launch of AFEELA 1 and the Second Model of AFEELA Vehicles - AFEELA', 'RBI postpones implementation of new rules on capital market exposure by 3 months - News On AIR', 'Nagaland State Sambad Lottery Result Today, 19-04-2026 LIVE: Dear 1PM Tuesday Weekly Lucky Draw For Rs 1 Crore - Goodreturns']",[]
P236,To construct “Amara Sullia Raithara Horata Bhavana” at sullia to commemorate the 1837 first freedom fight by farmers against the British by allotting land and grant of Rs.50 crores.,Karavali/Malnad Karnataka,"['NASA Answers Your Most Pressing Artemis II Questions - NASA (.gov)', 'Nagaland State Sambad Lottery Result Today, 19-04-2026 LIVE: Dear 1PM Tuesday Weekly Lucky Draw For Rs 1 Crore - Goodreturns']",[]
P238,To review Kasturi Rangan Report and to frame New Western Ghat Policy for Forest and Environmental protection.,Karavali/Malnad Karnataka,"['Explained: Why implementation of the recommendations of Kasturirangan Committee in Western Ghats is important - The Indian Express', 'Karnataka govt committed to implementing Kasturirangan panel report - The Economic Times', 'Karnataka ‘temporarily’ bans land use change in Western Ghats - The Times of India', 'Western Ghats Eco-Sensitive Area - Drishti IAS', 'Kasturirangan report: Breather for Karnataka as Centre orders physical land survey - The Federal']",[]
P237,Reserve Rs.100 crores to solve the problems of Yellow Leaf and other deceases affecting Arecanut and to improve marketing and research in this regard.,Karavali/Malnad Karnataka,['South Sudan: Funding gaps threaten nearly 2 million displaced people - UN News'],[]
P235,"To establish Brahmashri Narayana Guru Nigama and to with Rs.500 Crs. annualy and Rs. 2,500 Cr for five years",Karavali/Malnad Karnataka,"['The state of AI in 2025: Agents, innovation, and transformation - McKinsey & Company']",[]
P240,To make Mangaluru internationally competitive IT centre to increase employment opportunities and establish an IT Park.,Karavali/Malnad Karnataka,"['How Shark Tank India changed startup funding in tier 2-3 cities - YourStory.com', 'Can Mamdani Fulfill His Ambitious Campaign Promises? - Time Magazine']",[]
P241,To undertake the following programmes for the overall development of fishermen community: . Insurance Cover . Interest free loan upto Rs. One lakh to all fisher-women . 50% subsidy to buy well equipped fishing boats. . Increasing the diesel quantity upto 500 litres per day. . Providing appropriate transportation from dock to Market.,Karavali/Malnad Karnataka,"['Environmental Improvement Plan (EIP) 2025 - GOV.UK', 'Search-and-rescue in the Central Mediterranean Route does not induce migration: Predictive modeling to answer causal queries in migration research - Nature', 'Opinion | Noam Chomsky: The False Promise of ChatGPT (Published 2023) - The New York Times', 'Few have tried OpenAI’s Google killer. Here’s what they think. - The Washington Post', ""Here's where Trump's promises stand a year into his second term - WCVB""]",[]
P239,To develop a robust action plan to setup Beach Tourism in Mangalore Udupi and Karwar districts. Coastal Beach Tourism Authority.,Karavali/Malnad Karnataka,"['Celeste: Countdown to Launch 1 - European Space Agency', 'Search-and-rescue in the Central Mediterranean Route does not induce migration: Predictive modeling to answer causal queries in migration research - Nature', 'Encampment Resolution Funding Program, Round 2 - California Grants Portal (.gov)', 'SMART Stage 2 - Department of Transportation (.gov)', 'Implement Tenants in your Amazon SES environment, Part 3: Implementation guide - Amazon Web Services']",[]
P244,To provide a Permanent dredging Machine to Mangaluru Fisheries Port,Karavali/Malnad Karnataka,"['Coastal MLAs seek integrated development, higher budget allocation - Mangalore Today', 'Coastal legislators seek higher budget allocation for integrated development - The Hans India']",[]
P242,"To upgrade the NHs through Shiradi, Charmadi and Sampaje into all whether proof 6 lane NHs connecting Mangaluru to Bengaluru and make efforts to improve the Railway Connections.",Karavali/Malnad Karnataka,"['NHS Long Term Workforce Plan - NHS England', 'How Shark Tank India changed startup funding in tier 2-3 cities - YourStory.com', 'SMART Stage 2 - Department of Transportation (.gov)']",[]
P248,To rejuvenate Mysugar Factory and to plan and establish new sugar factories in Mandya,Hale Mysuru,"['Mysugar factory to become fully operational by September 30 - The Hindu', 'Sweetener for sugar factories: Govt may call for tenders in a month - The New Indian Express']",[]
P247,To invest Rs.5000 crores for the overall development of Mysuru Karnataka.,Hale Mysuru,"['Karnataka Budget 2026 Live Updates | Mysuru will be developed as 2nd IT City: CM - Dailyhunt', 'Bengaluru gets Rs 40,000 crore for tunnel roads, metro expansion and flood fixes - The Financial Express', 'Karnataka Budget 2026: What is in it for Bengaluru - The News Minute', 'Karnataka Budget 2026–27: What are the key announcements? - The South First', ""Karnataka CM says government pursuing 'balanced' development strategy in Budget 2026 - ET Realty""]",[]
P249,To build international standard Dr. Raj Kumar Film City in Mysuru with Rs.500 Crore Budget.,Hale Mysuru,['MCC launches major roadworks worth Rs 250 cr - The Times of India'],[]
P251,"To enact a comprehensive legislation exclusively for the management of BBMP bringing all service providers such as Water Supply and sewage, transport, housing, power and development authorities, under a single agency",NAMMA BENGALURU,"['BJP promises State Capital Region in Bengaluru, but how will that help? - The News Minute']",[]
P243,To develop Sasihitlu Sea Shore as International Surfing Centre.,Karavali/Malnad Karnataka,"['China launches AlSat-3A for Algeria, Ceres-1 sea launch adds to Tianqi constellation - SpaceNews', 'Celeste: Countdown to Launch 1 - European Space Agency', 'AIDA Statistical Update: The Implementation of the Dublin III Regulation in 2024 - European Council on Refugees and Exiles (ECRE) |']",[]
P245,"To set up two Fish Processing Parks in each of the coastal districts (Uttara Kannada, Dakshina Kannada and Udupi) and to set up required number of cold storage units to store marine products.",Karavali/Malnad Karnataka,"['LangGraph 101: Let’s Build A Deep Research Agent - Towards Data Science', 'Delhi Mumbai Expressway: Route, completion date and status - Housing']",[]
P246,To construct new ring road to Mandya.,Hale Mysuru,"['SMART Stage 2 - Department of Transportation (.gov)', 'Discontinuation of Development and Launch of AFEELA 1 and the Second Model of AFEELA Vehicles - AFEELA', 'IPL 2026 Points Table: SRH Enters Top-4 After Beating CSK, RCB Stays Second - zoomnews.in', 'Celeste: Countdown to Launch 1 - European Space Agency', 'Encampment Resolution Funding Program, Round 2 - California Grants Portal (.gov)', 'China launches AlSat-3A for Algeria, Ceres-1 sea launch adds to Tianqi constellation - SpaceNews']",[]
P250,"To start an exclusive Sports University in Mysuru and make it as a World-Class sports hub. And, to build an International Sports Complex in Mysuru.",Hale Mysuru,"['Mysuru to get multidisciplinary sports complex with velodrome and academies - The Times of India', 'CM Revanth Reddy seeks Rs 100 crore Centre grant to boost sports infrastructure in Telangana; eyes hostin - The Times of India', 'Karnataka Budget | CM Siddaramaiah announces slew of projects for Mysuru - Deccan Herald']",[]
P254,To establish Mega Bengaluru Planning Committee.,NAMMA BENGALURU,[],[]
P252,"To construct North South, South-east long elevated flyovers with necessary wings ease the traffic.",NAMMA BENGALURU,[],[]
P255,Construction of tunnel roads in CBD area to decongest traffic on PPP Model,NAMMA BENGALURU,[],[]
P257,To bring out a new Policy to develop the residential and commercial infrastructure around the outer ring roads.,NAMMA BENGALURU,[],[]
P253,"To get all pending metro projects completed under Phase 2, Phase 2A, Phase 2B within one year of coming to power. To strive to get approval and completion of Phase 3 and Phase 4 in the next five years and to extend Metro upon Tumkuru, Vasanta Narasapura Industrial Hub. ",NAMMA BENGALURU,[],[]
P259,"To create a system for seamless integration of Namma Metro, Suburban Rail",NAMMA BENGALURU,"['The role of digital technologies in enhancing construction project management - Nature', 'AI-powered success—with more than 1,000 stories of customer transformation and innovation - Microsoft', 'Frontier agents, Trainium chips, and Amazon Nova: key announcements from AWS re:Invent 2025 - About Amazon', 'Artificial Intelligence | Pros, Cons, Debate, Arguments, Computer Science, & Technology - Britannica']",[]
P261,"To constitute a 'Maha Bengaluru Samsthan' involving urban governance experts, industrialists, economists, and environmentalists to help BBMP revive the lost glory of Bengaluru through its administration.",NAMMA BENGALURU,[],[]
P260,Projects and Public Transportation Systems named after Puttanna Chettty.,NAMMA BENGALURU,[],[]
P256,To take-up on priority suburban railway project and build proper footpaths,NAMMA BENGALURU,[],[]
P263,To introduce e-rickshaws to improve first-mile and last-mile connectivity in the city of Bengaluru.,NAMMA BENGALURU,['BYD Atto 1 launched at 2026 Bangkok International Motor Show - CarWale'],[]
P258,To rename slums as Workers' Residential Zones and effect proper Housing Projects and give ownership titles of houses and sites.,NAMMA BENGALURU,"['Residential Zones Project - City of Hamilton', 'Build, Baby, Build: A Plan To Lower Housing Costs for All - Center for American Progress', 'Bancroft council discuss funding allocations for capital projects, re-zoning by-laws - My Bancroft Now', 'Regional ring road (RRR) Hyderabad map, route and real estate impact - Housing']",[]
P264,To install public charging/ battery swapping points at every metro station and bus stands to provide charging infrastructure.,NAMMA BENGALURU,"['SMART Stage 2 - Department of Transportation (.gov)', 'Encampment Resolution Funding Program, Round 2 - California Grants Portal (.gov)']",[]
P265,To provide free bus passes to BBMP pourakarmikas.,NAMMA BENGALURU,"['The State of Fashion 2026: When the rules change - McKinsey & Company', 'Can Mamdani Fulfill His Ambitious Campaign Promises? - Time Magazine', 'Video: Opinion | We Didn’t Ask for This Internet - The New York Times']",[]
P262,To add 5000 new electric buses to BMTC's fleet to reduce pollution and make BMTC more energy efficient.,NAMMA BENGALURU,"['Delhi Metro Phase 4 upcoming projects, stations list, latest updates - Housing', 'SMART Stage 2 - Department of Transportation (.gov)', 'IPL 2026 Points Table: SRH Enters Top-4 After Beating CSK, RCB Stays Second - zoomnews.in', '50 Business Ideas Positioned for Growth in 2026 and Beyond - U.S. Chamber of Commerce']",[]
P266,To complete the peripheral ring road and outer ring road projects on a priority basis to ease traffic congestion in the city.,NAMMA BENGALURU,"['SMART Stage 2 - Department of Transportation (.gov)', 'BYD Atto 1 launched at 2026 Bangkok International Motor Show - CarWale', 'SIR explained: What every voter should know - Citizen Matters']",[]
P267,To approve the updated Master Plan 2042 for a sustainable and planned development of the Bengaluru city keeping in mind the needs ofall residents.,NAMMA BENGALURU,"['Delhi Metro Phase 4 upcoming projects, stations list, latest updates - Housing', 'The state of AI in 2025: Agents, innovation, and transformation - McKinsey & Company', 'BYD Atto 1 launched at 2026 Bangkok International Motor Show - CarWale', 'SMART Stage 2 - Department of Transportation (.gov)']",[]
